id,premise,hypothesis,label
426,"LSC uses census data to determine funding across the nation, and according to the census, the state's poverty population fell from an estimated 1.2 million in 1990 to an estimated 968,000 in 2000.",Census data from 2000 shows a higher poverty population than in 1990,0
430,"The present church was rebuilt after pirates destroyed the original in 1667, though part of it, the Morgada chapel, did survive.",The present church has never been damaged in any way.,0
466,uh no uh no no i do have a place that's rusting i need to get something on it,There isn't any rust here that needs dealt with.,0
496,Separation is a 2013 Canadian thriller film directed by Greg White and his feature film directorial debut.,Separation is a 2013 Canadian thriller film directed by Bruce Willis and his feature film directorial debut.,0
498,The authorities believe that the bounty hunters used their profession as a cover for armed robbery.,Bountry hunters aren't always pure. ,1
501,A joint collective effort to commit to the film 's production was made by The Kennedy / Marshall Company.,A joint collective effort to commit to the film's production was made by Blinding Edge Pictures and The Kennedy/Marshall Company.,1
584,yeah yeah if they do come up with a positive regardless of what uh what it was they detected uh we're required to go attend a uh a counseling session,We still have three more weeks of counseling left even if everything seems positive. ,1
586,Concludes the Globe : She's more than a perfect 10!,The Globe feels that she is less than a perfect 10,0
587,McTeer's solution?,How would McTeer propose we fix the hole in the dam?,1
622,Several runners compete in a road race.,Several runners compete in a race.,1
636,"Futarasan Jinja is a Shinto shrine founded in the 8th century to honor the deity Okuni-nushi-no-Mikoto ( God of the Ricefields ), his consort, and their son.","The god's consort is Suseri-Hime, daughter of Susanoo - the storm god.",1
638,But could other teachers follow his example?,Is it possible that other teachers followed his example because he was a natural leader?,1
685,Instead of the government telling electricity generators precisely where and how to reduce their emissions,The government would lay out a clear plan on how to reduce emissions.,0
732,But this wealth of earnest achievement doesn't mean that the people lack verve or the ability to enjoy themselves.,People who achieve definitely lack verve and the ability to enjoy themselves.,0
766,A good shorthand name for the Democratic fund-raising/Lincoln Bedroom/John Huang set of controversies seems as elusive as the story itself.,"A good short-hand name for these controversies is easy, much like the story.",0
776,laments the plan's gross generational inequity and instructs President Clinton to spend the money on education instead.,President Clinton's plan has been determined to be equitable.,0
788,"Say, shall we go right away back to the Ritz?""","After dinner, maybe we should go back to the Ritz. ",1
799,"It is a large, clump - forming evergreen bamboo, with yellow canes.","It is a large, clump-forming evergreen bamboo, closely resembling ""Fargesia nitida"" in the same genus, but with yellow canes.",1
808,some of the home builders are they they don't put brick on the side of your houses to save money so they put up a lot uh little quarter inch Masonite basically and they're painted kind of like a spun of some sort and so it's real cheap and uh uh i've had thirteen hundred dollar bid and i've as low as five hundred and forty dollars so it's just a matter of it's,Builders never cut corners.,0
813,I suppose that's what this place had been used for before.,I guess this place was used in the Underground Railroad.,1
829,yeah it's just it's it's just a lack of concern they don't have you know these kids the ones that are involved in you know gangs i think are searching for self-esteem and they find som ething like that in uh their gang activities and they never had this at home and their parents don't have it if they happen to know their parents,The kids that search for self-esteem in gangs never get wit.,0
851,"ATandT's plan, announced in February, to use wireless systems to offer local phone service has been widely dismissed as unconvincing.",AT&T's plan was universally popular.,0
870,"The museum has a good, but crowded cafe and a small gift shop.","The museum's gift shop is expensive, but the cafe is reasonably priced.",1
897,do you do you do you do your own gardening,I don't believe you do your own gardening.,1
926,The party's broad aims were to support capitalist policies and to continue close ties with Britain and the rest of the Commonwealth.,Radical socialism and isolationism was the primary aim of the party's platform.,0
927,"The basic elements of life in the Aegean began to come together as early as 5000 b.c. , and were already in place by the late Bronze Age (c.",Aegean life was going well up until the Bronze Age.,1
937,Climate Research Initiative and the National Climate Change Technology Initiative.,Weather patterns and global warming initiatives.,1
998,i wonder if uh being from uh Dallas area i i wonder if if it's just this area that's doesn't encourage that type of camping i i seems like back packing goes well with mountain and sceneries sceneries worth seeing by foot where as here your looking as you know you can go two hundred miles and your probably in the same kind of environment you were in when you left so,The authorities in Dallas seem to just be interested in keeping campers safe.,1
1012,You have perhaps read these? Stein asked.,Stein asked his girlfriend if she had read the books.,1
1035,"If Ireland got hit hardest by the famine, it was because it depended more heavily on the potato for sustenance than other countries.",Potatoes and green beans are what fed Ireland during the famine.,1
1037,A group of Asian men pose around a large table after enjoying a meal together.,A group of Asian men are playing soccer.,0
1041,The opportunity,The opportunity is what the line states,1
1056,"Yes, she said quietly, ""that was not Evelyn Howard who spoke!"" She flung her head up proudly. ",She knew what had happened.,1
1067,yeah  things like that are just kind of absurd or once in a while they'll they'll keep uh just hounding someone that they're interviewing,If they hounded me I would walk out of the interview.,1
1080,and are now now that even though California has reinstated the death penalty for whatever various crimes the people who were there originally when they when they changed the laws to revoke the death penalty are still in there for are in prison in quote for life and and are now coming up for parole some of them like Manson who's come up,California keeps a firm grip and no one who ever is in for life or for the death penalty will be able to parole.,0
1088,Its complex curves suggest that it was sculpted rather than drawn.,It may have been drawn due to its complex curves.,0
1121,"'I told Daniel to make sure the train kept going no matter what,' I explained.",They did not want the train to stop to pick up more passengers.,1
1131,"From the top rows of seats you can enjoy a grand view of the Arcadian Way, the city's col?ίnnaded main street, once lined with fine statues, and lit by oil lamps at night.",Arcadian Way is known to be heavy with foot traffic during the summer months.,1
1132,"The proserous Burgundy region boasts a great variety of fine wines and food; lazy days on the Canal de Bourgogne, drifting past green meadows; Romanesque architecture; tiny villages with exquisite parish churches and open-air stone laundries (lavoirs); the grand ducal palace of Dijon, and Dijon's museums.",The region of Burgundy has a very limited range of wine and food. ,0
1137,We do indeed.,We don't.,0
1142,Always ignorance.,Always feigned unfamiliarity.,1
1145,yeah so you have a break too,Your break is longer than mine.,1
1146,"In recent years, nominal gains on households' assets-particularly financial assets-have dwarfed the saving flow.",Rapidly rising house prices have accounted for much of this rise.,1
1153,"In 1842 a United States Army fort was built there, but it was soon abandoned.","In 1843 a United States Army fort was built there, but it was soon abandoned.",0
1179,And the man history remembers is not the man who really lived.',History has explained it perfectly.,0
1183,when i was growing up and i before before i was married i was teaching school and teaching down in Corpus Christi and i wanted to be able to at least change a flat tire,I know how to change a tire since I learned it being a teacher in Denver.,0
1214,An Asian woman in a red skirt sits near the ground with another woman standing next to her.,the women are standing,0
1221,"At the same moment I felt a terrific blow on the back of my head… ."" She shuddered.",I was hit on the back of my head with a baseball bat. ,1
1284,"Her selection continues the tradition of this award in recognizing those who have labored in the trenches, with little or no compensation but with great professional and personal satisfaction in helping to bring justice and equality to those who need it most.",There is no effort to bring justice to those who need it.,0
1307,"MC2000-2, was initially considered and recommended by the Commission under the market test rules.",MC2000-2 was recommended by the Finance Commission.,1
1339,"If you can afford it, great.","It's great if you can afford it, but I cannot.",1
1452,"To change the organizational culture and enlist the support of line managers, many organizations utilize training programs.",Many organizations utilize training programs to maintain the organizational culture.,0
1500,"I had fought in two hundred and ten battles, fifty six of those to the death.",I have never been in a fight.,0
1511,well  it was really it was really sad heartbreaking i guess,It was really happy and uplifting.,0
1523,it it depends on the person on the individual but uh the one factor i think,It depends on the person and we need to look carefully.,1
1530,is uh it uh yeah it can add up quick,It always adds up quick. ,1
1541,Disease took a further toll.,Disease nearly wiped out the population.,1
1566,He wasn't that bad after all.,"He wasn't great, but he wasn't terrible. ",1
1581,"The inquest isn't until Friday.""",The inquest is bound to happen before Friday.,0
1599,"It will be COLOSSAL!""",It will be miniscule.,0
1601,"This rule is intended to prevent the establishment and amplification of BSE in the United States through feed and, thereby, to minimize the risk to animals and humans.",BSE is a major cause of mad cow disease and may cause rabies in children.,1
1603,"US EPA, Office of Air and Radiation and Office of Policy.",The EPA has an office of policy in Washington DC.,1
1604,"If auditors determine that internal controls over data which are significantly dependent upon computerized information systems are not effective or if auditors do not plan to test the effectiveness of such controls, auditors should include audit documentation regarding the basis for that conclusion by addressing (1) the reasons why the design or operation of the controls is ineffective, or (2) the reasons why it is inefficient to test the controls.","If auditors find the internal controls over data are not effective, they should not include that documentation.",0
1640,no North Carolina State,Yes North Carolina is the state next to Virginia,0
1677,"As local lore goes, it doesn't match the all-time classic (Headless Body Found in Topless Bar).","The locals gave an award to the headline ""Headless Body Found in Topless Bar.""",1
1712,oh i go for that yeah,I would never go for that.,0
1719,"Bias detection methods may be inadequate; may fail to take into account diverse views about program goals and purposes; competence of all on-site observers may not be sufficiently high; can be costly due to study size; the demands of data management, data quality control, validation procedures, and analytic model (within site, cross site, etc.) may lead to cutting too many corners to maintain quality",Programs that provide aid to the poor are most likely to fail bias tests.,1
1747,Then he died last fall and I got the dollars.,I invested the inheritance after he died.,1
1807,"The complex within, still home to a community of Greek Orthodox priests, is centered around the Church of St. Catherine built in 552 and dedicated to the saint when her remains were discovered nearby (on Mount St. Catherine) over 300 years later.",The name of the church was changed after 300 years when St. Catherine's remains were found.,1
1832,uh yes my wife did some last year,My wife did a little bit this past year. ,1
1835,Three men with blue jerseys try to score a goal in soccer against the other team in white jerseys and their goalie in green.,"Some men with jerseys are in a bar, watching a soccer match.",0
1847,this is part of the old happiness aspect,This makes me terribly sad to talk about.,0
1851,yeah so jobs have to i guess become more flexible,Jobs don't need to be flexible at all.,0
1854,Far back he saw a flash of black steel surrounded by the screams and howls of the demontouched Sticks.,He was trying to escape.,1
1858,Perhaps she twists my mind.,She makes everything make sense.,0
1872,"Ibiza became a mere backwater, largely forgotten but for shipwreck or plague.",Ibiza was forgotten about as soon as they found a better trade route.,1
1912,"If they lost, at least Stark would know what he faced.",Stark will know what he's fighting if the others lose... we can't let that happen.,1
1920,"The Board believes that the desire for more specific guidance expressed by several respondents stems from the belief that without such guidance, an entity's determination of how to apply the standards could be questioned.","In the past, the Board has found fault with how standards were applied.",1
1945,For a moment they were all still as if sight of the weapon had frozen them.,They were moving very rapidly.,0
1954,"As for the Mississippi Bubble, it burst in 1720.",The bubbles has now burst numerous times since 1720.,1
1964,Voluntariness of risks is evaluated.,No evaluation is being done of risks.,0
1996,He might be baffled as to why the Kentuckian had not made a move to claim kinship with Hunt.,The Kentuckian had made efforts to claim kinship with the Hunt.,0
2003,"It upheld state racial segregation laws for public facilities under the doctrine of "" equal "".","It upheld state racial segregation laws for public facilities under the doctrine of ""separate but equal"".",1
2043,so well i think we've taken up at least five minutes,You've taken up the last 5 minutes.,1
2062,yep same here,That never happened to me.,0
2073,"They should be worried about the truth and concerned about the truth, and that was Salon 's guiding principle here.",Salon always told the truth because he was concerned about his legacy.,1
2076,He recommended a balance between the rigor of research and the application process that needs to happen.,He did not care for balance as long as they met their deadlines.,0
2082,"I touched my palm to his mutilated cheek, and tried to stem my instinctive revulsion.",You could see where the bear had scratched across his cheek. ,1
2088,"Those who did not flee to sea were thrown into Fort William's prison, already known as the Black Hole.",The prison was large and poorly maintained.,1
2116,no he wasn't at the firm he was like Rosalyn Chase's lawyer before,She was charged with murder.,1
2118,A blond man stands next to a cement mixer with mountains in the background.,A man stands outside in front of some mountains.,1
2161,"However, comments on the statutory provisions were solicited from the public by publication in the Federal Register on June 26, 1997 (62 Fed.",Comments on the provisions were collected from the employees.,0
2177,Chennai was set up in 1642 as the East India Company's first east coast trading station for shipping cotton and sugar.,"Once the East India Company established a trading post in Chennai, people immediately began flocking to the area.",1
2214,They are daintier beasts than their African cousins.,They are the least dainty animals in the world.,0
2216,"Isn't it a little self-pitying to ascribe misplaced guilty liberalism and soggy altruism to the same folks who bring us season after season of formulaic sitcoms, spandexed soap operas, and disease-of-the-week movies?",It's silly to say the same people that bring us sitcoms on NBC also are soggy alturistics.,1
2261,"Observe that crescent; and those diamonds, their neatness rejoices the eye. ",The diamonds were 24 k. ,1
2275,Saqqara was the final resting place for the rulers of Memphis and constitutes the largest royal graveyard in Egypt.,The graveyard in Saqqara is not only for the royal.,0
2332,They don't have to make large stockholders known until the company files with the SEC to go public.,The SEC is a company that forces companies to go public,0
2388,yes uh-huh yeah i it's the same way with everything in education though it should begin and right down in the first grade uh and your very best teachers in my estimation should be first second or third grade so that the children develop good learning patterns and have some success and want to go on learning and continue learning uh and not wait until they're in high school and then it's too late to try to change them around at that point,Children should learn how to vote early on so they don't vote for people like Trump.,0
2403,frequently as a dumbhead to get to the mainframe and and there i tend on almost all of my editing and stuff to to be using some fairly powerful,I still prefer the character environment to GUI.,1
2444,they're hard workers trying to make it,Their bosses work them to the bone for such a low pay.,1
2447,ooh that does get high yeah i mean,That does get high because you want so many different extras.,1
2460,"Bob Barr, the conservative Republican congressman from Georgia, is asking questions about the Legal Services Corp.",Georgia Republican Bob Barr barely acknowledged the Legal Services Corp.,0
2473,Waterloo.,D-Day.,0
2481,we got a couple of big trees out front um i guess right along our street there used to be one of the um lines i guess there was fields here many many years ago cotton fields or something and,My great grandfather was a cotton picker in a different county.,1
2528,"From the Nuruosmaniye entrance, stretching towards the Beyazet Gate, is the main street, lined with jewellers' shops.","The main street is lined with little food stalls, while the expensive jewellers' shops are closer to the heart of the city.",0
2538,3) The gap between the productivity of women and the productivity of men.,The numbers are very similar.,1
2581,i don't know you know there was a oh what was his Gary Gilmore did you ever read the book that Norman Mailer wrote The Executioners Song,I'm not sure. Did you read The Executioners Song? I'd recommend it. ,1
2584,to uh working a steady eight hour job as it were i had been working for a camp and had relatively real long hours sixteen years old and could handle getting up at five and not getting to bed until ten or eleven and,I could get along with having six hours of sleep every night.,1
2601,one that i can't find anymore which is Gabriel's Fire,I want to find Gabriel's Fire; it is my favourite. ,1
2622,"De Gaulle, with his canny sense of history, took an important step toward rebuilding national self-confidence by insisting that French armed forces fight side by side with the Americans and British for the liberation of the country, but, above all, that the French army be the first to enter Paris itself.",De Gaulle knew nothing about history.,0
2667,um-hum yeah i know what that's like uh-huh,That's like the worst thing that could happen.,1
2674,"PRE-MODIFICATION VALUE - The present value of net cash inflows of direct loans estimated at the time of modification under pre-modification terms, discounted at the current discount rate.","There are other, unnamed factors that one must use when calculating pre-modification value.",1
2716,Exhibit 12 Change in Incidence of Adverse Health Effects Associated with Reductions in Particulate Matter and Ozone Due to the Clear Skies Act ,There was a 50% decline in health related issues and ozone issues as a reult of the Clear Skies Act,1
2721,maybe we'll talk to you again alright bye-bye,Perhaps we will talk to you again if you call this office about your shipment.,1
2739,"So I dusted it off with my apron, and took it in."" I had the utmost difficulty in controlling my excitement. ","I took the apron, suppressing my excitement with ease.",0
2745,no you have i have a friend now that has seven and um and they're all eight and under,She gave birth to all those kids when she was 18.,1
2756,Golfers say that the best resort course is the Bukit Jambul Golf Club in Penang.,Golfers say Bukit Jambul is the best resort course because it has the most beautiful grass and hardest holes.,1
2776,she doesn't work you don't know you can be better than that You don't have to live on the you know for a street life,She lives in a mansion and is a successful lawyer. ,0
2806,"A common law rule "" that a freehold contingent remainder which does not vest before the termination of the preceding freehold estate is destroyed.","A common law rule ""that a freehold contingent remainder which does not vest at or before the termination of the preceding freehold estate is destroyed.",1
2810,It would only be fitting that yadda,It might make sense now for yadda but I'm not certain it will in the long run.,1
2820,"Bhaktapur expanded over the centuries from a nucleus around the Tachupal Tole, reached by a walk from the Nyatapola Temple through narrow streets full of unfamiliar the lengths of red yarn are sold to be plaited in women's hair; the gray cannonballs are homemade soap, the conical yellowish cigarettes are bidi, the cheapest tobacco, and can be bought singly.",The red yarn is the most popular item available for sale.,1
2841,"To still others, it was not possible to tell whether this was a case study because looking at instances was what we do in all our methods, and there was no differentiation between this job and a compliance audit.",A compliance audit measures the ability of the employees to follow the workplace guidelines.,1
2843,this has never been positively confirmed.,"Pete Townshend is also rumoured to be buried in the mix of ""Minstrel Boy"", but this has never been positively confirmed.",1
2852,Jon thought a moment and then spoke.,He told them about the plan.,1
2898,But money is important for another reason.,There aren't any other reasons to think that money is important.,0
2902,"When conflicting evidence cannot be resolved, the careful investigator indicates that causality cannot be established.",This is important to remember in each case.,1
2919,And the name of that guy?,Does that guy even have a name?,1
2947,Newsweek 's meaty package explains Heaven's Gate's daft cosmology and catalogs America's other doomsday sects.,Newsweek refuses to explain or cover any cosmology or doomsday sects.,0
2987,"Indeed, said John with a certain stiffness in his manner. ","John agreed, and relaxed.",1
3003,"The Symposium has been the forum for debate and discussion of a wide range of equal justice issues, from the mission of the civil legal assistance delivery system to the design and implementation of a number of specific initiatives aimed at unifying, expanding and improving the state's equal justice community.",The Symposium discussed the civil legal assistance delivery system in 2012.,1
3018,"Across the river, 250 dealers are concentrated in the Louvre des Antiquaires, by the place du Palais-Royal, closed Monday (and Sunday in July and August), and other antiques dealers are scattered around Les Halles.",Most antiques dealers find that they get more sales at the Louvre des Antiquaires.,1
3033,The screenplay was written by Gail Parent and is based on the novel of the same name by Dyan Sheldon.,The screenplay was written by Gail Parent and is based on the novel of the same name by Jeffrey Fayman.,0
3048,cut us off right there the last few seconds the station finally you know how they'll put the little message down at the bottom started telling everybody that they were not the ones that had cut that off that it was the national you know,They said we could do it as long as we wanted.,0
3066,There are no means of destroying it; and he dare not keep it. ,There is no what to get rid of it.,1
3086,and if you figure get with a financial person and you can figure up exactly when like the eighteenth month of a loan if you make like a four hundred dollar payment,Most financial advisers are experts with loan terms.,1
3112,only in Ohio,"That type of events predominantly occur in Ohio but also in unlisted or unmentioned locations, as well.",1
3116,"But the Lojack research is in many ways more informative, because the authors were able to do a thorough job of distinguishing between benefits to the purchaser of a Lojack and benefits to the community at large.",The authors of the Lojack research did a crappy job.,0
3119,"I didn't know what I wanted to do, but all my friends thought I should go into law because I was always on a soapbox.","I didn't know what I wanted, but i went to law school because my friends said I was good at arguing.",1
3130,"Thank you for all of this,"" said Ca'daan.",Ca'daan was disgusted by all of them and told them to go away.,0
3135,The excursions to be made today into the Lazio hinterland around Rome are those that ancient Romans themselves made to vacation homes by the sea or nearby lakes.,Romans had thousands of vacation homes built in the Lazio hinterland.,0
3140,How Would Medicare Reform Affect National Saving?,National savings would increase if Medicare were reformed.,1
3144,"West's essay on Du Bois in Africana seemed a re-working of his essay on Du Bois in The Future of the Race . There is nothing new said in his Africana essay, and his presentism, his insistence on judging a historical figure by current moral standards, I find fatuous, just poor scholarship.",West wrote about Du Bois and race in three different books.,1
3159,But he knew Barnes had tried to do something about the Confederate symbol on the Georgia flag.,Barnes did not do anything about the Georgia flag's confederate symbol.,0
3166,Might not doing so just accelerate the departure of this mail from the system?,This is automatically destroying junk mail.,1
3178,"Those with a passion for the big city can combine Rome with the artistic delights of Florence and Tuscany, or Milan with the magical romance of Venice.","Rome, Florence, and Tuscany are known to have the best art in all of Italy.",1
3191,Most of us have no idea how many families and individuals are barely surviving.,We wish we weren't in the dark.,1
3202,"You understand?"" The other two assented, and, after making arrangements for meeting on the morrow, the great lawyer took his leave.",They forgot to schedule their next meeting before they parted. ,0
3212,The goal of the stewardship objective is that the Federal Government report on the broad outcomes of its actions.,The stewardship objective is meant to obscure governmental activities and results.,0
3233,"As an old Anglo-Saxon prophecy While stands the Colosseum, Rome shall stand; when falls the Colosseum, Rome shall fall; and when Rome falls, with it shall fall the world. ","However, the prophecy was made several hundred years after the actual fall of both Rome and the Colosseum",1
3250,uh news on the um television it seems that alcohol is the is the most prevalent um addictive addictive drug,"According to the news, alcohol is one of the most difficult drugs to find.",0
3276,isn't the basic needs of the government in the first place is to protect and what is the other one basic services is to protect and i don't know about providing all the other services that they do i mean even i i guess the uh the latest uh fire they came under was whenever they were providing a uh a tribute to um Lawrence Welk,The government's role is to provide as many services as possible.,0
3293,and that's how he basically got her off by by casting a shadow of doubt saying well this other his daughter did it you know and because this other will was had her name on it you know and all this kind of stuff but actually she had done it after all and he figured it out after he made her innocent and then that was right before he was going out to the big news conference you know to,He made her guilty with all the evidence he had.,0
3305,She readily produced the key of the Moat House.,She was always ready and able to take out the key very fast.,1
3315,"The armored man howled in his helm as the hand enclosed, twisting metal and crushing bone.","The armored man parried the unarmed blow, and responded with a vicious fist of his own.",0
3323,and sure enough after i'd taken it home for you know a couple of weeks after that i didn't have the problem but now it's starting to recur again,"I have found that it runs perfectly, with no issues whatsoever.",0
3326,Laguna Beach is one of the south coast's most attractive towns.,The beach of Laguna is considered beautiful for its rich white sand.,1
3338,"People usually think we're older, and we hang out with 15-year-olds.",They are not much older than the 15-year-olds.,1
3340,and i i did a lot of growing up there uh,I burned down a lot there.,0
3342,"It was an influx of new settlers with Bronze Age skills around 3000 b.c. that ushered in the Minoan era, the first major civilization to arise on European soil.",The Minoan civilization was eventually eclipsed by the Greek civilization.,1
3357,"She wants Evie to stay on, is begging her to, but she doesn't want me, and ”and ”I don't know what to do."" Suddenly the poor child burst out crying. ",She's asked me to stay here as long as I want. ,0
3369,though it's awfully tempting,There's nothing more repulsive than that particular thing.,0
3389,"The Army discharged a 20-year decorated veteran one week before he would have been eligible for retirement benefits, because investigators discovered evidence of his homosexuality after an arsonist torched his home.",The Army does not like supporting anyone that is gay.,1
3404,"This is, I believe, a good point to do a comparison of the evidentiary record the Commission based its decision on and the financial picture postal officials are now painting just three months later.",The financial picture that postal officials are painting shows an increase in overall sales.,1
3407,"That is surely irrelevant, since it leaves the welfare recipient in no worse condition than he would have been in had the LSC program never been enacted.",It is important as the welfare recipient is negatively affected. ,0
3417,see if we get together again sometime,Let's never see each other again.,0
3420,They wouldn't wait.,They wouldn't wait because Mary needed to get to the hospital.,1
3436,Last month they couldn't make the payment on a house they have owned for 31 years.,They finally made their last payment on their home.,0
3440,"Tax the Knickers Off Your Grandchildren, by Steven E. Landsburg, seems less like a well-reasoned editorial on economics than a weak rationalization for shortsightedness.",She wanted to write about how the children should never be taxed.,0
3450,The Kal put her down and a strange look pulled the corners of his mouth.,Kal felt strange as he put her down since she looked so frightened by the gesture.,1
3468,yeah i'm i'm we're not from Texas we're from further we're from Missouri so it's it's,We are definitely from Texas.,0
3483,um-hum i think it works much better if it's if it's the actual jury,The jury does a much better job than them.,1
3491,The meeting was affecting! ,The meeting got out of hand and my boss and I almost came to blows.,1
3496,The Chechen  Russia is trying to take us over again.,Russia doesn't want to over take us. ,0
3501,"Good heavens, Poirot! I cried. ","I see what you did there, Poirot, I added quietly.",0
3526,"Then probably my liver, or whatever else is valuable, working their way up-'","My liver is worth $50,000.",1
3552,uh Mike Ditka i don't like the way he treats people,Mike Ditka is great at talking to others.,0
3557,maybe i'll be so lucky,It will happen eventually.,1
3559,so that's real good,The news is wonderful.,1
3567,and she found out after that she said you know my parents they just they really wasted a lot of money this is about twenty years ago but uh,She was jealous that my parents still spend money on me twenty years later.,0
3591,"More money, replied his companion.","His companion needed more money to fuel a gambling trip to Las Vegas, Nevada.",1
3595,"And in some way he could not define, this put him, at least in his own mind, on an equal footing with Don Cazar.",He thought that he and Don Cazar were equals because he has achieved many things that compares to that of Don Cazar.,1
3616,"He is a long  He lacks business experience, and he alienated owners with his pro-player stance during the strike.",He sided with the baseball players in the strike.,1
3620,The man continued.,The me were tired. ,1
3624,A group of people in white uniforms doing a show in the middle of the street.,Dogs in costumes are juggling in the street.,0
3630,you what what do you look for uh ease of handling or roominess,Handling is always going to be preferable over all else. ,1
3650,And all expenses paid! ,Half of the costs have been covered.,0
3653,"If Congress and the executive branch decide to move forward with the COO approach, it may make sense to use a pilot in a select number of agencies using a value and risk-based approach.",Both Congress and the executive branch have expressed concerns about the implementation of the COO approach.,1
3655,"Six years ago the Congress enacted this requirement into law, and required the General Services Administration to promote the use of frequent flyer programs.",They are currently going through another revision of this requirement.,1
3677,The woman wore a gray cloak and hood.,The woman's cloak was very long.,1
3694,A woman sits at a table outdoors with magazines on her table.,A woman stands near her husband.,0
3697,"Japan made a dramatic debut on the international stage, with military actions against China and Russia.",Japan won significant military victories against China and Russia.,1
3698,"Surprisingly, the plan contained little detail for the buildings that would line the streets and frame the squares.",There was an incredible amount of detail about the houses and the streets in the plan.,0
3707,18Long-term simulations are useful for comparing the potential outcome of alternative national saving paths within a common economic framework.,Long-term simulations help compare the possible outcome for saving paths among individual investors.,1
3729,But I've seen five other bodies come down like this.,This is the first body that came down like this.,0
3766,"It also provides an extensive set of links to other political sites, including those maintained by many candidates.",It provides DONALD trump and Hiliary clintons sites ,1
3832,The look of you told me.,I couldn't deduce anything from your appearance. ,0
3842,"Don't be a fool.""",Don't believe things you know are wrong.,1
3848,"In the case of fine particles, atmospheric chemical relationships suggest that when only reducing sulfate for example, it is replaced in the atmosphere by nitrate.",It takes a lot of energy for the atmosphere to replacement nitrate.,1
3858,no yeah that is a scary thought but uh  i don't know i i guess what you have to do is just uh keep encouraging uh you know encouraging them and and uh uh try to be open with them so that you can deal with the problems as they come up yeah and,There's no use in encouraging them.,0
3866,Lord! he murmured ecstatically.,He shouted about the situation with dread. ,0
3879,"It recalls William Randolph Hearst's castle in Caleornia, with its imaginative juxtaposition of ancient Roman and Chinese sculpture, fine Venetian glass chandeliers, Syvres porcelain, old Flemish masters, and naughty French erotica.","William Randolph Hearst didn't love chandeliers, but kept them to make his lady happy.",1
3880,we had i didn't get a lot no not like i expected um we had you know one or two that were extremely outspoken you know felt like it really violated their rights and and um and it was not the people that i would have expected um it's uh one of them stands out in my mind as an extremely uh just a super person in management you know and he's he's very family oriented his family's very close he he also opposes in the schools like for his kids because he says you know we are a good Christian family we do not do this type of thing it definitely violates our rights and he was very outspoken,"The fact is, we don't think that their rights were violated.",1
